Date,Open,High,Low,Close,Change %,Volume
"Mar. 10, 1999",51.13,51.16,50.28,51.06,0.00%,"5,232,000"
"Mar. 11, 1999",51.44,51.73,50.31,51.31,0.49%,"9,688,600"
"Mar. 12, 1999",51.13,51.16,49.66,50.06,-2.44%,"8,743,600"
"Mar. 15, 1999",50.44,51.56,49.91,51.5,2.88%,"6,369,000"
"Mar. 16, 1999",51.72,52.16,51.16,51.94,0.85%,"4,905,800"
"Mar. 17, 1999",51.94,52,51.41,51.56,-0.73%,"3,965,000"
"Mar. 18, 1999",51.5,52.59,51.48,52.56,1.94%,"4,848,400"
"Mar. 19, 1999",53.25,53.25,51.19,51.22,-2.55%,"7,160,400"
"Mar. 22, 1999",51.44,51.56,50.5,50.59,-1.23%,"5,024,800"
"Mar. 23, 1999",50.31,50.5,48.72,48.81,-3.52%,"10,962,400"
"Mar. 24, 1999",49.25,50.5,48.5,50.47,3.40%,"8,447,000"
"Mar. 25, 1999",51.25,52.31,50.91,52.31,3.65%,"8,133,800"
"Mar. 26, 1999",51.88,52.47,51.53,53.63,2.52%,"8,256,200"
"Mar. 29, 1999",52.38,53.66,52.06,53.63,0.00%,"5,113,800"
"Mar. 30, 1999",53.56,54,53.03,53.25,-0.71%,"4,940,600"
"Mar. 31, 1999",54.13,54.19,52.31,52.47,-1.46%,"8,256,600"
"Apr. 01, 1999",54,54.07,52.69,53.57,2.09%,"8,715,800"
"Apr. 05, 1999",54.42,55.58,54.1,55.5,3.61%,"5,697,200"
"Apr. 06, 1999",55.44,56.22,54.97,55.61,0.20%,"7,522,400"
"Apr. 07, 1999",56.13,56.25,53.85,55.03,-1.04%,"11,923,600"
"Apr. 08, 1999",54.94,55.74,53.82,55.47,0.80%,"7,952,400"
"Apr. 09, 1999",55.38,55.94,55.22,55.82,0.62%,"4,946,800"
"Apr. 12, 1999",54.5,55.82,54.44,55.44,-0.67%,"10,934,000"
"Apr. 13, 1999",55.78,55.91,54.25,54.69,-1.35%,"9,962,200"
"Apr. 14, 1999",55.38,55.44,52.52,52.82,-3.43%,"21,253,800"
"Apr. 15, 1999",53,53.61,51.13,53.53,1.35%,"17,650,600"
"Apr. 16, 1999",53.41,53.41,51.69,51.97,-2.91%,"17,274,000"
"Apr. 19, 1999",52.32,52.75,49.02,49.53,-4.70%,"19,460,600"
"Apr. 20, 1999",49.32,51.07,48.85,50.66,2.27%,"17,413,600"
"Apr. 21, 1999",51.13,53.19,50.44,53.16,4.94%,"10,940,400"
"Apr. 22, 1999",53.66,54.75,53.3,54.6,2.71%,"13,630,600"
"Apr. 23, 1999",54.32,55.72,53.75,55.32,1.32%,"7,064,400"
"Apr. 26, 1999",55.69,57,55.52,56.58,2.29%,"5,421,000"
"Apr. 27, 1999",57,57.28,55.02,55.72,-1.52%,"16,482,800"
"Apr. 28, 1999",55.25,55.44,53.57,53.82,-3.42%,"7,676,800"
"Apr. 29, 1999",53.57,53.88,52.25,53.38,-0.82%,"19,148,200"
"Apr. 30, 1999",54.13,54.41,51.82,53.72,0.65%,"15,295,200"
"May 03, 1999",53.57,53.78,52.53,53.44,-0.52%,"11,109,800"
"May 04, 1999",53.53,54.38,52.28,52.6,-1.58%,"15,428,400"
"May 05, 1999",52.63,54.19,51.03,54.19,3.03%,"12,642,600"
"May 06, 1999",53.69,54.16,51.72,52.22,-3.64%,"15,173,400"
"May 07, 1999",52.69,53.13,51.57,52.97,1.44%,"16,430,400"
"May 10, 1999",53.32,53.86,52.69,53.5,1.00%,"10,604,200"
"May 11, 1999",53.94,54.63,53.63,54.35,1.58%,"8,800,800"
"May 12, 1999",54.6,55.66,53,55.47,2.07%,"12,507,400"
"May 13, 1999",55.91,56,54.19,54.44,-1.86%,"9,864,000"
"May 14, 1999",53.38,54,53,53.41,-1.90%,"12,205,400"
"May 17, 1999",52.94,54.53,52.41,54.36,1.79%,"9,906,800"
"May 18, 1999",54.32,54.63,53.5,54.13,-0.43%,"9,267,800"
"May 19, 1999",54.35,54.91,53.5,54.88,1.39%,"7,985,600"
"May 20, 1999",54.99,54.99,53.28,53.36,-2.76%,"5,997,200"
"May 21, 1999",53.53,53.69,52.6,52.88,-0.91%,"10,471,600"
"May 24, 1999",52.97,53.07,51.19,51.53,-2.54%,"9,569,800"
"May 25, 1999",51.47,52.22,49.63,49.85,-3.27%,"17,771,200"
"May 26, 1999",50.5,51.44,48.94,51.24,2.79%,"26,772,000"
"May 27, 1999",51.03,51.92,50.25,51.19,-0.09%,"23,334,800"
"May 28, 1999",51.5,52.32,50.85,52.03,1.64%,"12,969,800"
"Jun. 01, 1999",51.94,52.19,50.6,50.88,-2.22%,"6,960,200"
"Jun. 02, 1999",50.85,52,49.57,51.74,1.69%,"11,996,600"
"Jun. 03, 1999",52.13,52.13,50.69,51,-1.42%,"11,147,800"
"Jun. 04, 1999",51.38,52.74,51.38,52.57,3.07%,"12,987,200"
