Date,Open,High,Low,Close,Change %,Volume,Peak Price,Drawdown %
2010-02-11,0.41,0.43,0.41,0.43,0.00%,"3,436,800",0.43,0.00%
2010-02-12,0.42,0.44,0.42,0.43,0.41%,"8,582,400",0.43,0.00%
2010-02-16,0.44,0.45,0.44,0.45,3.87%,"9,600,000",0.45,0.00%
2010-02-17,0.46,0.46,0.45,0.46,1.70%,"19,161,600",0.46,0.00%
2010-02-18,0.46,0.47,0.46,0.47,1.90%,"38,860,800",0.47,0.00%
2010-02-19,0.46,0.47,0.46,0.47,0.00%,"46,464,000",0.47,0.00%
2010-02-22,0.47,0.47,0.46,0.46,-0.70%,"25,497,600",0.47,2.13%
2010-02-23,0.46,0.46,0.44,0.45,-3.90%,"41,107,200",0.47,4.26%
2010-02-24,0.45,0.46,0.45,0.46,3.02%,"35,308,800",0.47,2.13%
2010-02-25,0.44,0.46,0.44,0.46,-0.06%,"45,600,000",0.47,2.13%
2010-02-26,0.46,0.47,0.45,0.47,1.25%,"28,800,000",0.47,0.00%
2010-03-01,0.47,0.49,0.47,0.49,4.29%,"14,208,000",0.49,0.00%
2010-03-02,0.49,0.5,0.49,0.49,0.60%,"24,211,200",0.49,0.00%
2010-03-03,0.49,0.5,0.49,0.49,0.56%,"23,961,600",0.49,0.00%
2010-03-04,0.49,0.5,0.48,0.5,1.10%,"14,726,400",0.5,0.00%
2010-03-05,0.51,0.52,0.5,0.52,4.42%,"13,420,800",0.52,0.00%
2010-03-08,0.52,0.52,0.52,0.52,0.53%,"12,652,800",0.52,0.00%
2010-03-09,0.52,0.54,0.52,0.53,1.77%,"23,193,600",0.53,0.00%
2010-03-10,0.53,0.55,0.53,0.54,2.45%,"20,025,600",0.54,0.00%
2010-03-11,0.54,0.55,0.54,0.55,0.92%,"26,956,800",0.55,0.00%
2010-03-12,0.55,0.55,0.54,0.55,0.23%,"18,048,000",0.55,0.00%
2010-03-15,0.55,0.55,0.53,0.55,-0.67%,"21,177,600",0.55,0.00%
2010-03-16,0.55,0.56,0.55,0.56,1.89%,"23,289,600",0.56,0.00%
2010-03-17,0.56,0.57,0.56,0.56,0.69%,"19,891,200",0.56,0.00%
2010-03-18,0.56,0.57,0.56,0.57,1.01%,"26,169,600",0.57,0.00%
2010-03-19,0.57,0.57,0.55,0.56,-1.77%,"20,006,400",0.57,1.75%
